level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,4,3,2,1,0,0,0,0,0,0,0,1,2
0.02,5,3,1,1,1,0,0,0,0,0,1,3,5
0.03,6,4,3,2,1,0,0,0,0,1,2,4,5
0.04,8,6,3,2,1,0,0,0,1,2,2,4,6
0.05,7.666666667,5.666666667,2.833333333,2,1,0,0,0,1,2,2,4,5.833333333
0.06,7.333333333,5.333333333,2.666666667,2,1,0,0,0,1,2,2,4,5.666666667
0.07,7,5,2.5,2,1,0,0,0,1,2,2,4,5.5
0.08,6.666666667,4.666666667,2.333333333,2,1,0,0,0,1,2,2,4,5.333333333
0.09,6.333333333,4.333333333,2.166666667,2,1,0,0,0,1,2,2,4,5.166666667
0.1,6,4,2,2,1,0,0,0,1,2,2,4,5
0.11,5.9,4,2.1,2,1,0,0,0,1,2,2,3.9,4.9
0.12,5.8,4,2.2,2,1,0,0,0,1,2,2,3.8,4.8
0.13,5.7,4,2.3,2,1,0,0,0,1,2,2,3.7,4.7
0.14,5.6,4,2.4,2,1,0,0,0,1,2,2,3.6,4.6
0.15,5.5,4,2.5,2,1,0,0,0,1,2,2,3.5,4.5
0.16,5.4,4,2.6,2,1,0,0,0,1,2,2,3.4,4.4
0.17,5.3,4,2.7,2,1,0,0,0,1,2,2,3.3,4.3
0.18,5.2,4,2.8,2,1,0,0,0,1,2,2,3.2,4.2
0.19,5.1,4,2.9,2,1,0,0,0,1,2,2,3.1,4.1
0.2,5,4,3,2,1,0,0,0,1,2,2,3,4
0.21,5.1,4,3,2,1,0,0,0,1,2,2,3.1,4.1
0.22,5.2,4,3,2,1,0,0,0,1,2,2,3.2,4.2
0.23,5.3,4,3,2,1,0,0,0,1,2,2,3.3,4.3
0.24,5.4,4,3,2,1,0,0,0,1,2,2,3.4,4.4
0.25,5.5,4,3,2,1,0,0,0,1,2,2,3.5,4.5
0.26,5.6,4,3,2,1,0,0,0,1,2,2,3.6,4.6
0.27,5.7,4,3,2,1,0,0,0,1,2,2,3.7,4.7
0.28,5.8,4,3,2,1,0,0,0,1,2,2,3.8,4.8
0.29,5.9,4,3,2,1,0,0,0,1,2,2,3.9,4.9
0.3,6,4,3,2,1,0,0,0,1,2,2,4,5
0.31,6,4,3,2,1,0,0,0,1,2,2,4,5
0.32,6,4,3,2,1,0,0,0,1,2,2,4,5
0.33,6,4,3,2,1,0,0,0,1,2,2,4,5
0.34,6,4,3,2,1,0,0,0,1,2,2,4,5
0.35,6,4,3,2,1,0,0,0,1,2,2,4,5
0.36,6,4,3,2,1,0,0,0,1,2,2,4,5
0.37,6,4,3,2,1,0,0,0,1,2,2,4,5
0.38,6,4,3,2,1,0,0,0,1,2,2,4,5
0.39,6,4,3,2,1,0,0,0,1,2,2,4,5
0.4,6,4,3,2,1,0,0,0,1,2,2,4,5
0.41,6,4,3,2,1,0,0,0,1,2,2,4,5
0.42,6,4,3,2,1,0,0,0,1,2,2,4,5
0.43,6,4,3,2,1,0,0,0,1,2,2,4,5
0.44,6,4,3,2,1,0,0,0,1,2,2,4,5
0.45,6,4,3,2,1,0,0,0,1,2,2,4,5
0.46,6,4,3,2,1,0,0,0,1,2,2,4,5
0.47,6,4,3,2,1,0,0,0,1,2,2,4,5
0.48,6,4,3,2,1,0,0,0,1,2,2,4,5
0.49,6,4,3,2,1,0,0,0,1,2,2,4,5
0.5,6,4,3,2,1,0,0,0,1,2,2,4,5
0.51,6,4,3,2,1,0,0,0,1,2,2,4,5
0.52,6,4,3,2,1,0,0,0,1,2,2,4,5
0.53,6,4,3,2,1,0,0,0,1,2,2,4,5
0.54,6,4,3,2,1,0,0,0,1,2,2,4,5
0.55,6,4,3,2,1,0,0,0,1,2,2,4,5
0.56,6,4,3,2,1,0,0,0,1,2,2,4,5
0.57,6,4,3,2,1,0,0,0,1,2,2,4,5
0.58,6,4,3,2,1,0,0,0,1,2,2,4,5
0.59,6,4,3,2,1,0,0,0,1,2,2,4,5
0.6,6,4,3,2,1,0,0,0,1,2,2,4,5
0.61,5.95,4,2.95,2,1,0,0,0,1,2,2,4,5
0.62,5.9,4,2.9,2,1,0,0,0,1,2,2,4,5
0.63,5.85,4,2.85,2,1,0,0,0,1,2,2,4,5
0.64,5.8,4,2.8,2,1,0,0,0,1,2,2,4,5
0.65,5.75,4,2.75,2,1,0,0,0,1,2,2,4,5
0.66,5.7,4,2.7,2,1,0,0,0,1,2,2,4,5
0.67,5.65,4,2.65,2,1,0,0,0,1,2,2,4,5
0.68,5.6,4,2.6,2,1,0,0,0,1,2,2,4,5
0.69,5.55,4,2.55,2,1,0,0,0,1,2,2,4,5
0.7,5.5,4,2.5,2,1,0,0,0,1,2,2,4,5
0.71,5.45,4,2.45,2,1,0,0,0,1,2,2,4,5
0.72,5.4,4,2.4,2,1,0,0,0,1,2,2,4,5
0.73,5.35,4,2.35,2,1,0,0,0,1,2,2,4,5
0.74,5.3,4,2.3,2,1,0,0,0,1,2,2,4,5
0.75,5.25,4,2.25,2,1,0,0,0,1,2,2,4,5
0.76,5.2,4,2.2,2,1,0,0,0,1,2,2,4,5
0.77,5.15,4,2.15,2,1,0,0,0,1,2,2,4,5
0.78,5.1,4,2.1,2,1,0,0,0,1,2,2,4,5
0.79,5.05,4,2.05,2,1,0,0,0,1,2,2,4,5
0.8,5,4,2,2,1,0,0,0,1,2,2,4,5
0.81,5,4,2,2,1,0,0,0,1,2,2,4,5
0.82,5,4,2,2,1,0,0,0,1,2,2,4,5
0.83,5,4,2,2,1,0,0,0,1,2,2,4,5
0.84,5,4,2,2,1,0,0,0,1,2,2,4,5
0.85,5,4,2,2,1,0,0,0,1,2,2,4,5
0.86,5,4,2,2,1,0,0,0,1,2,2,4,5
0.87,5,4,2,2,1,0,0,0,1,2,2,4,5
0.88,5,4,2,2,1,0,0,0,1,2,2,4,5
0.89,5,4,2,2,1,0,0,0,1,2,2,4,5
0.9,5,4,2,2,1,0,0,0,1,2,2,4,5
0.91,4.9,3.9,2,1.9,0.9,0,0,0,0.9,1.9,2,3.9,4.9
0.92,4.8,3.8,2,1.8,0.8,0,0,0,0.8,1.8,2,3.8,4.8
0.93,4.7,3.7,2,1.7,0.7,0,0,0,0.7,1.7,2,3.7,4.7
0.94,4.6,3.6,2,1.6,0.6,0,0,0,0.6,1.6,2,3.6,4.6
0.95,4.5,3.5,2,1.5,0.5,0,0,0,0.5,1.5,2,3.5,4.5
0.96,4.4,3.4,2,1.4,0.4,0,0,0,0.4,1.4,2,3.4,4.4
0.97,4.3,3.3,2,1.3,0.3,0,0,0,0.3,1.3,2,3.3,4.3
0.98,4.2,3.2,2,1.2,0.2,0,0,0,0.2,1.2,2,3.2,4.2
0.99,4.1,3.1,2,1.1,0.1,0,0,0,0.1,1.1,2,3.1,4.1
1,4,3,2,1,0,0,0,0,0,1,2,3,4
1.01,4,3,2,1,0,0,0,0,0,1,2,3,4
1.02,4,3,2,1,0,0,0,0,0,1,2,3,4
1.03,4,3,2,1,0,0,0,0,0,1,2,3,4
1.04,4,3,2,1,0,0,0,0,0,1,2,3,4
1.05,4,3,2,1,0,0,0,0,0,1,2,3,4
1.06,4,3,2,1,0,0,0,0,0,1,2,3,4
1.07,4,3,2,1,0,0,0,0,0,1,2,3,4
1.08,4,3,2,1,0,0,0,0,0,1,2,3,4
1.09,4,3,2,1,0,0,0,0,0,1,2,3,4
1.1,4,3,2,1,0,0,0,0,0,1,2,3,4
1.11,4.1,3.1,2,1.1,0.1,0,0,0,0,1,2,3,4
1.12,4.2,3.2,2,1.2,0.2,0,0,0,0,1,2,3,4
1.13,4.3,3.3,2,1.3,0.3,0,0,0,0,1,2,3,4
1.14,4.4,3.4,2,1.4,0.4,0,0,0,0,1,2,3,4
1.15,4.5,3.5,2,1.5,0.5,0,0,0,0,1,2,3,4
1.16,4.6,3.6,2,1.6,0.6,0,0,0,0,1,2,3,4
1.17,4.7,3.7,2,1.7,0.7,0,0,0,0,1,2,3,4
1.18,4.8,3.8,2,1.8,0.8,0,0,0,0,1,2,3,4
1.19,4.9,3.9,2,1.9,0.9,0,0,0,0,1,2,3,4
1.2,5,4,2,2,1,0,0,0,0,1,2,3,4
1.21,4.966666667,3.966666667,2,1.966666667,0.966666667,0,0,0,0,1,2,3,4
1.22,4.933333333,3.933333333,2,1.933333333,0.933333333,0,0,0,0,1,2,3,4
1.23,4.9,3.9,2,1.9,0.9,0,0,0,0,1,2,3,4
1.24,4.866666667,3.866666667,2,1.866666667,0.866666667,0,0,0,0,1,2,3,4
1.25,4.833333333,3.833333333,2,1.833333333,0.833333333,0,0,0,0,1,2,3,4
1.26,4.8,3.8,2,1.8,0.8,0,0,0,0,1,2,3,4
1.27,4.766666667,3.766666667,2,1.766666667,0.766666667,0,0,0,0,1,2,3,4
1.28,4.733333333,3.733333333,2,1.733333333,0.733333333,0,0,0,0,1,2,3,4
1.29,4.7,3.7,2,1.7,0.7,0,0,0,0,1,2,3,4
1.3,4.666666667,3.666666667,2,1.666666667,0.666666667,0,0,0,0,1,2,3,4
1.31,4.633333333,3.633333333,2,1.633333333,0.633333333,0,0,0,0,1,2,3,4
1.32,4.6,3.6,2,1.6,0.6,0,0,0,0,1,2,3,4
