level,trim_-6.0,trim_-5.5,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
35,-76.5,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
36,-76.6,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
37,-76.7,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
38,-76.8,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
39,-76.9,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
40,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
41,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
42,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
43,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
44,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
45,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
46,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
47,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
48,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
49,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
50,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
51,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
52,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
53,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
54,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
55,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
56,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
57,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
58,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
59,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
60,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
61,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
62,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
63,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
64,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
65,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
66,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
67,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
68,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
69,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
70,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
71,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
72,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
73,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
74,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
75,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
76,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
77,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
78,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
79,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
80,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
81,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
82,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
83,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
84,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
85,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
86,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
87,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
88,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
89,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
90,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
91,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
92,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
93,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
94,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
95,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
96,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
97,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
98,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
99,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
100,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
101,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
102,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
103,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
104,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
