level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.0,trim_-1.0,trim_0.0,trim_1.0,trim_2.0
426,551.6,554.8,558,561.2,564.6,567.9,571.4,574.8
427,553.6,556.7,559.9,563.2,566.5,569.9,573.3,576.8
428,555.5,558.7,561.9,565.1,568.4,571.8,575.3,578.7
429,557.5,560.6,563.8,567.1,570.4,573.8,577.2,580.7
430,559.4,562.6,565.8,569,572.4,575.7,579.2,582.7
431,561.4,564.5,567.7,571,574.3,577.7,581.1,584.6
432,563.3,566.4,569.7,572.9,576.3,579.6,583.1,586.6
433,565.2,568.4,571.6,574.9,578.2,581.6,585,588.5
434,567.2,570.3,573.6,576.8,580.2,583.6,587,590.5
435,569.1,572.3,575.5,578.8,582.1,585.5,589,592.5
436,571.1,574.2,577.5,580.7,584.1,587.5,590.9,594.4
437,573,576.2,579.4,582.7,586,589.4,592.9,596.4
438,575,578.2,581.4,584.7,588,591.4,594.8,598.4
439,576.9,580.1,583.3,586.6,590,593.4,596.8,600.3
440,578.9,582.1,585.3,588.6,591.9,595.3,598.8,602.3
441,580.9,584,587.3,590.5,593.9,597.3,600.7,604.3
442,582.8,586,589.2,592.5,595.9,599.3,602.7,606.2
443,584.8,587.9,591.2,594.5,597.8,601.2,604.7,608.2
444,586.7,589.9,593.1,596.4,599.8,603.2,606.7,610.2
445,588.7,591.9,595.1,598.4,601.8,605.2,608.6,612.1
446,590.7,593.8,597.1,600.4,603.7,607.1,610.6,614.1
447,592.6,595.8,599,602.3,605.7,609.1,612.6,616.1
448,594.6,597.8,601,604.3,607.7,611.1,614.6,618.1
449,596.5,599.7,603,606.3,609.6,613.1,616.5,620.1
450,598.5,601.7,604.9,608.3,611.6,615,618.5,622
451,600.5,603.7,606.9,610.2,613.6,617,620.5,624
452,602.4,605.6,608.9,612.2,615.6,619,622.5,626
453,604.4,607.6,610.9,614.2,617.5,621,624.4,628
454,606.4,609.6,612.8,616.1,619.5,622.9,626.4,630
455,608.4,611.6,614.8,618.1,621.5,624.9,628.4,631.9
456,610.3,613.5,616.8,620.1,623.5,626.9,630.4,633.9
457,612.3,615.5,618.8,622.1,625.5,628.9,632.4,635.9
458,614.3,617.5,620.7,624.1,627.4,630.9,634.3,637.9
459,616.2,619.5,622.7,626,629.4,632.8,636.3,639.9
460,618.2,621.4,624.7,628,631.4,634.8,638.3,641.9
461,620.2,623.4,626.7,630,633.4,636.8,640.3,643.8
462,622.2,625.4,628.7,632,635.4,638.8,642.3,645.8
463,624.2,627.4,630.6,634,637.4,640.8,644.3,647.8
464,626.1,629.4,632.6,636,639.3,642.8,646.3,649.8
465,628.1,631.3,634.6,637.9,641.3,644.8,648.3,651.8
466,630.1,633.3,636.6,639.9,643.3,646.8,650.3,653.8
467,632.1,635.3,638.6,641.9,645.3,648.7,652.2,655.8
468,634.1,637.3,640.6,643.9,647.3,650.7,654.2,657.8
469,636,639.3,642.6,645.9,649.3,652.7,656.2,659.8
470,638,641.3,644.5,647.9,651.3,654.7,658.2,661.8
471,640,643.2,646.5,649.9,653.3,656.7,660.2,663.8
472,642,645.2,648.5,651.9,655.3,658.7,662.2,665.8
473,644,647.2,650.5,653.9,657.3,660.7,664.2,667.8
474,646,649.2,652.5,655.8,659.2,662.7,666.2,669.8
475,648,651.2,654.5,657.8,661.2,664.7,668.2,671.8
476,650,653.2,656.5,659.8,663.2,666.7,670.2,673.8
477,651.9,655.2,658.5,661.8,665.2,668.7,672.2,675.8
478,653.9,657.2,660.5,663.8,667.2,670.7,674.2,677.8
479,655.9,659.2,662.5,665.8,669.2,672.7,676.2,679.8
480,657.9,661.2,664.5,667.8,671.2,674.7,678.2,681.8
481,659.9,663.2,666.5,669.8,673.2,676.7,680.2,683.8
482,661.9,665.2,668.5,671.8,675.2,678.7,682.2,685.8
483,663.9,667.2,670.5,673.8,677.2,680.7,684.2,687.8
484,665.9,669.2,672.5,675.8,679.2,682.7,686.2,689.8
485,667.9,671.1,674.5,677.8,681.2,684.7,688.2,691.8
486,669.9,673.1,676.5,679.8,683.2,686.7,690.2,693.8
487,671.9,675.1,678.5,681.8,685.2,688.7,692.2,695.8
488,673.9,677.1,680.5,683.8,687.2,690.7,694.2,697.8
489,675.9,679.1,682.5,685.8,689.3,692.7,696.2,699.8
490,677.9,681.1,684.5,687.8,691.3,694.7,698.3,701.8
491,679.9,683.2,686.5,689.8,693.3,696.7,700.3,703.8
492,681.9,685.2,688.5,691.8,695.3,698.7,702.3,705.8
493,683.9,687.2,690.5,693.9,697.3,700.8,704.3,707.9
494,685.9,689.2,692.5,695.9,699.3,702.8,706.3,709.9
495,687.9,691.2,694.5,697.9,701.3,704.8,708.3,711.9
496,689.9,693.2,696.5,699.9,703.3,706.8,710.3,713.9
497,691.9,695.2,698.5,701.9,705.3,708.8,712.3,715.9
498,693.9,697.2,700.5,703.9,707.3,710.8,714.3,717.9
499,695.9,699.2,702.5,705.9,709.3,712.8,716.3,719.9
500,697.9,701.2,704.5,707.9,711.3,714.8,718.4,721.9
501,699.9,703.2,706.5,709.9,713.4,716.8,720.4,724
502,701.9,705.2,708.5,711.9,715.4,718.9,722.4,726
503,703.9,707.2,710.6,713.9,717.4,720.9,724.4,728
504,706,709.2,712.6,716,719.4,722.9,726.4,730
505,708,711.2,714.6,718,721.4,724.9,728.4,732
506,710,713.3,716.6,720,723.4,726.9,730.4,734
507,712,715.3,718.6,722,725.4,728.9,732.5,736
508,714,717.3,720.6,724,727.4,730.9,734.5,738.1
509,716,719.3,722.6,726,729.5,733,736.5,740.1
510,718,721.3,724.6,728,731.5,735,738.5,742.1
511,720,723.3,726.7,730.1,733.5,737,740.5,744.1
512,722,725.3,728.7,732.1,735.5,739,742.5,746.1
513,724,727.3,730.7,734.1,737.5,741,744.6,748.1
514,726.1,729.4,732.7,736.1,739.5,743,746.6,750.2
515,728.1,731.4,734.7,738.1,741.6,745.1,748.6,752.2
516,730.1,733.4,736.7,740.1,743.6,747.1,750.6,754.2
517,732.1,735.4,738.8,742.2,745.6,749.1,752.6,756.2
518,734.1,737.4,740.8,744.2,747.6,751.1,754.7,758.2
519,736.1,739.4,742.8,746.2,749.6,753.1,756.7,760.3
520,738.1,741.4,744.8,748.2,751.7,755.2,758.7,762.3
521,740.2,743.5,746.8,750.2,753.7,757.2,760.7,764.3
522,742.2,745.5,748.8,752.2,755.7,759.2,762.7,766.3
523,744.2,747.5,750.9,754.3,757.7,761.2,764.8,768.3
524,746.2,749.5,752.9,756.3,759.7,763.2,766.8,770.4
525,748.2,751.5,754.9,758.3,761.8,765.3,768.8,772.4
526,750.2,753.5,756.9,760.3,763.8,767.3,770.8,774.4
527,752.2,755.6,758.9,762.3,765.8,769.3,772.8,776.4
528,754.3,757.6,760.9,764.4,767.8,771.3,774.9,778.4
529,756.3,759.6,763,766.4,769.8,773.3,776.9,780.5
530,758.3,761.6,765,768.4,771.9,775.4,778.9,782.5
531,760.3,763.6,767,770.4,773.9,777.4,780.9,784.5
532,762.3,765.7,769,772.4,775.9,779.4,783,786.5
533,764.4,767.7,771,774.5,777.9,781.4,785,788.6
534,766.4,769.7,773.1,776.5,779.9,783.4,787,790.6
535,768.4,771.7,775.1,778.5,782,785.5,789,792.6
536,770.4,773.7,777.1,780.5,784,787.5,791,794.6
537,772.4,775.8,779.1,782.5,786,789.5,793.1,796.6
538,774.5,777.8,781.1,784.6,788,791.5,795.1,798.7
539,776.5,779.8,783.2,786.6,790.1,793.6,797.1,800.7
540,778.5,781.8,785.2,788.6,792.1,795.6,799.1,802.7
541,780.5,783.8,787.2,790.6,794.1,797.6,801.1,804.7
542,782.5,785.9,789.2,792.7,796.1,799.6,803.2,806.8
543,784.6,787.9,791.3,794.7,798.1,801.6,805.2,808.8
544,786.6,789.9,793.3,796.7,800.2,803.7,807.2,810.8
545,788.6,791.9,795.3,798.7,802.2,805.7,809.2,812.8
546,790.6,793.9,797.3,800.7,804.2,807.7,811.3,814.8
547,792.6,796,799.3,802.8,806.2,809.7,813.3,816.9
548,794.7,798,801.4,804.8,808.2,811.8,815.3,818.9
549,796.7,800,803.4,806.8,810.3,813.8,817.3,820.9
550,798.7,802,805.4,808.8,812.3,815.8,819.3,822.9
551,800.7,804.1,807.4,810.8,814.3,817.8,821.4,825
552,802.7,806.1,809.5,812.9,816.3,819.8,823.4,827
553,804.8,808.1,811.5,814.9,818.4,821.9,825.4,829
554,806.8,810.1,813.5,816.9,820.4,823.9,827.4,831
555,808.8,812.1,815.5,818.9,822.4,825.9,829.4,833
556,810.8,814.2,817.5,821,824.4,827.9,831.5,835.1
557,812.9,816.2,819.6,823,826.4,829.9,833.5,837.1
558,814.9,818.2,821.6,825,828.5,832,835.5,839.1
559,816.9,820.2,823.6,827,830.5,834,837.5,841.1
560,818.9,822.3,825.6,829,832.5,836,839.6,843.1
561,820.9,824.3,827.7,831.1,834.5,838,841.6,845.2
562,823,826.3,829.7,833.1,836.6,840.1,843.6,847.2
563,825,828.3,831.7,835.1,838.6,842.1,845.6,849.2
564,827,830.3,833.7,837.1,840.6,844.1,847.6,851.2
565,829,832.4,835.7,839.2,842.6,846.1,849.7,853.2
566,831,834.4,837.8,841.2,844.6,848.1,851.7,855.3
567,833.1,836.4,839.8,843.2,846.7,850.2,853.7,857.3
568,835.1,838.4,841.8,845.2,848.7,852.2,855.7,859.3
569,837.1,840.4,843.8,847.2,850.7,854.2,857.7,861.3
570,839.1,842.5,845.8,849.3,852.7,856.2,859.8,863.3
571,841.1,844.5,847.9,851.3,854.7,858.2,861.8,865.4
572,843.2,846.5,849.9,853.3,856.8,860.3,863.8,867.4
573,845.2,848.5,851.9,855.3,858.8,862.3,865.8,869.4
574,847.2,850.5,853.9,857.3,860.8,864.3,867.8,871.4
575,849.2,852.6,855.9,859.4,862.8,866.3,869.9,873.4
576,851.2,854.6,858,861.4,864.8,868.3,871.9,875.4
577,853.3,856.6,860,863.4,866.9,870.4,873.9,877.5
578,855.3,858.6,862,865.4,868.9,872.4,875.9,879.5
579,857.3,860.6,864,867.4,870.9,874.4,877.9,881.5
580,859.3,862.6,866,869.4,872.9,876.4,879.9,883.5
581,861.3,864.7,868,871.5,874.9,878.4,882,885.5
582,863.3,866.7,870.1,873.5,876.9,880.4,884,887.5
583,865.4,868.7,872.1,875.5,879,882.4,886,889.5
584,867.4,870.7,874.1,877.5,881,884.5,888,891.6
585,869.4,872.7,876.1,879.5,883,886.5,890,893.6
586,871.4,874.7,878.1,881.5,885,888.5,892,895.6
587,873.4,876.8,880.1,883.6,887,890.5,894,897.6
588,875.4,878.8,882.2,885.6,889,892.5,896,899.6
589,877.4,880.8,884.2,887.6,891,894.5,898.1,901.6
590,879.5,882.8,886.2,889.6,893.1,896.5,900.1,903.6
591,881.5,884.8,888.2,891.6,895.1,898.6,902.1,905.6
592,883.5,886.8,890.2,893.6,897.1,900.6,904.1,907.6
593,885.5,888.8,892.2,895.6,899.1,902.6,906.1,909.7
594,887.5,890.9,894.2,897.6,901.1,904.6,908.1,911.7
595,889.5,892.9,896.2,899.7,903.1,906.6,910.1,913.7
596,891.5,894.9,898.3,901.7,905.1,908.6,912.1,915.7
597,893.5,896.9,900.3,903.7,907.1,910.6,914.1,917.7
598,895.6,898.9,902.3,905.7,909.1,912.6,916.1,919.7
599,897.6,900.9,904.3,907.7,911.2,914.6,918.2,921.7
600,899.6,902.9,906.3,909.7,913.2,916.6,920.2,923.7
601,901.6,904.9,908.3,911.7,915.2,918.6,922.2,925.7
602,903.6,906.9,910.3,913.7,917.2,920.7,924.2,927.7
603,905.6,908.9,912.3,915.7,919.2,922.7,926.2,929.7
604,907.6,911,914.3,917.7,921.2,924.7,928.2,931.7
605,909.6,913,916.3,919.7,923.2,926.7,930.2,933.7
606,911.6,915,918.3,921.8,925.2,928.7,932.2,935.7
607,913.6,917,920.3,923.8,927.2,930.7,934.2,937.7
608,915.6,919,922.4,925.8,929.2,932.7,936.2,939.7
609,917.6,921,924.4,927.8,931.2,934.7,938.2,941.7
610,919.6,923,926.4,929.8,933.2,936.7,940.2,943.7
611,921.7,925,928.4,931.8,935.2,938.7,942.2,945.7
612,923.7,927,930.4,933.8,937.2,940.7,944.2,947.7
613,925.7,929,932.4,935.8,939.2,942.7,946.2,949.7
614,927.7,931,934.4,937.8,941.2,944.7,948.2,951.7
615,929.7,933,936.4,939.8,943.2,946.7,950.2,953.7
616,931.7,935,938.4,941.8,945.2,948.7,952.2,955.7
617,933.7,937,940.4,943.8,947.2,950.7,954.2,957.7
618,935.7,939,942.4,945.8,949.2,952.7,956.2,959.7
619,937.7,941,944.4,947.8,951.2,954.7,958.1,961.7
620,939.7,943,946.4,949.8,953.2,956.6,960.1,963.7
621,941.7,945,948.4,951.8,955.2,958.6,962.1,965.6
622,943.7,947,950.4,953.7,957.2,960.6,964.1,967.6
623,945.7,949,952.3,955.7,959.2,962.6,966.1,969.6
624,947.6,951,954.3,957.7,961.2,964.6,968.1,971.6
625,949.6,953,956.3,959.7,963.2,966.6,970.1,973.6
626,951.6,955,958.3,961.7,965.1,968.6,972.1,975.6
627,953.6,957,960.3,963.7,967.1,970.6,974.1,977.6
628,955.6,958.9,962.3,965.7,969.1,972.6,976,979.6
629,957.6,960.9,964.3,967.7,971.1,974.6,978,981.5
630,959.6,962.9,966.3,969.7,973.1,976.5,980,983.5
631,961.6,964.9,968.3,971.7,975.1,978.5,982,985.5
632,963.6,966.9,970.3,973.6,977.1,980.5,984,987.5
633,965.6,968.9,972.2,975.6,979,982.5,986,989.5
634,967.6,970.9,974.2,977.6,981,984.5,987.9,991.4
635,969.5,972.9,976.2,979.6,983,986.5,989.9,993.4
636,971.5,974.9,978.2,981.6,985,988.4,991.9,995.4
637,973.5,976.8,980.2,983.6,987,990.4,993.9,997.4
638,975.5,978.8,982.2,985.5,989,992.4,995.9,999.3
639,977.5,980.8,984.1,987.5,990.9,994.4,997.8,1001.3
640,979.5,982.8,986.1,989.5,992.9,996.3,999.8,1003.3
641,981.4,984.8,988.1,991.5,994.9,998.3,1001.8,1005.3
642,983.4,986.7,990.1,993.5,996.9,1000.3,1003.7,1007.2
643,985.4,988.7,992.1,995.4,998.8,1002.3,1005.7,1009.2
644,987.4,990.7,994,997.4,1000.8,1004.2,1007.7,1011.2
645,989.4,992.7,996,999.4,1002.8,1006.2,1009.7,1013.1
646,991.3,994.7,998,1001.4,1004.8,1008.2,1011.6,1015.1
647,993.3,996.6,1000,1003.3,1006.7,1010.1,1013.6,1017.1
648,995.3,998.6,1001.9,1005.3,1008.7,1012.1,1015.6,1019
649,997.3,1000.6,1003.9,1007.3,1010.7,1014.1,1017.5,1021
650,999.2,1002.5,1005.9,1009.2,1012.6,1016,1019.5,1023
651,1001.2,1004.5,1007.9,1011.2,1014.6,1018,1021.5,1024.9
652,1003.2,1006.5,1009.8,1013.2,1016.6,1020,1023.4,1026.9
653,1005.2,1008.5,1011.8,1015.1,1018.5,1021.9,1025.4,1028.8
654,1007.1,1010.4,1013.8,1017.1,1020.5,1023.9,1027.3,1030.8
655,1009.1,1012.4,1015.7,1019.1,1022.5,1025.9,1029.3,1032.7
656,1011.1,1014.4,1017.7,1021,1024.4,1027.8,1031.2,1034.7
657,1013,1016.3,1019.6,1023,1026.4,1029.8,1033.2,1036.7
658,1015,1018.3,1021.6,1025,1028.3,1031.7,1035.2,1038.6
659,1017,1020.2,1023.6,1026.9,1030.3,1033.7,1037.1,1040.6
660,1018.9,1022.2,1025.5,1028.9,1032.2,1035.6,1039.1,1042.5
661,1020.9,1024.2,1027.5,1030.8,1034.2,1037.6,1041,1044.5
662,1022.8,1026.1,1029.4,1032.8,1036.2,1039.5,1043,1046.4
663,1024.8,1028.1,1031.4,1034.7,1038.1,1041.5,1044.9,1048.4
664,1026.8,1030,1033.4,1036.7,1040.1,1043.4,1046.9,1050.3
665,1028.7,1032,1035.3,1038.6,1042,1045.4,1048.8,1052.2
666,1030.7,1034,1037.3,1040.6,1044,1047.3,1050.8,1054.2
667,1032.6,1035.9,1039.2,1042.6,1045.9,1049.3,1052.7,1056.1
668,1034.6,1037.9,1041.2,1044.5,1047.9,1051.2,1054.6,1058.1
669,1036.5,1039.8,1043.1,1046.4,1049.8,1053.2,1056.6,1060
670,1038.5,1041.8,1045.1,1048.4,1051.7,1055.1,1058.5,1061.9
671,1040.4,1043.7,1047,1050.3,1053.7,1057.1,1060.5,1063.9
672,1042.4,1045.7,1049,1052.3,1055.6,1059,1062.4,1065.8
673,1044.3,1047.6,1050.9,1054.2,1057.6,1060.9,1064.3,1067.8
674,1046.3,1049.5,1052.8,1056.2,1059.5,1062.9,1066.3,1069.7
675,1048.2,1051.5,1054.8,1058.1,1061.5,1064.8,1068.2,1071.6
676,1050.2,1053.4,1056.7,1060,1063.4,1066.8,1070.1,1073.5
677,1052.1,1055.4,1058.7,1062,1065.3,1068.7,1072.1,1075.5
678,1054.1,1057.3,1060.6,1063.9,1067.3,1070.6,1074,1077.4
679,1056,1059.3,1062.5,1065.9,1069.2,1072.5,1075.9,1079.3
680,1057.9,1061.2,1064.5,1067.8,1071.1,1074.5,1077.9,1081.3
681,1059.9,1063.1,1066.4,1069.7,1073.1,1076.4,1079.8,1083.2
682,1061.8,1065.1,1068.3,1071.7,1075,1078.3,1081.7,1085.1
683,1063.8,1067,1070.3,1073.6,1076.9,1080.3,1083.6,1087
684,1065.7,1068.9,1072.2,1075.5,1078.8,1082.2,1085.6,1088.9
685,1067.6,1070.9,1074.1,1077.4,1080.8,1084.1,1087.5,1090.9
686,1069.6,1072.8,1076.1,1079.4,1082.7,1086,1089.4,1092.8
687,1071.5,1074.7,1078,1081.3,1084.6,1087.9,1091.3,1094.7
688,1073.4,1076.7,1079.9,1083.2,1086.5,1089.9,1093.2,1096.6
689,1075.3,1078.6,1081.8,1085.1,1088.4,1091.8,1095.1,1098.5
690,1077.3,1080.5,1083.8,1087.1,1090.4,1093.7,1097.1,1100.4
691,1079.2,1082.4,1085.7,1089,1092.3,1095.6,1099,1102.3
692,1081.1,1084.4,1087.6,1090.9,1094.2,1097.5,1100.9,1104.2
693,1083,1086.3,1089.5,1092.8,1096.1,1099.4,1102.8,1106.1
694,1085,1088.2,1091.4,1094.7,1098,1101.3,1104.7,1108
695,1086.9,1090.1,1093.4,1096.6,1099.9,1103.3,1106.6,1109.9
696,1088.8,1092,1095.3,1098.6,1101.8,1105.2,1108.5,1111.8
697,1090.7,1093.9,1097.2,1100.5,1103.8,1107.1,1110.4,1113.7
698,1092.6,1095.9,1099.1,1102.4,1105.7,1109,1112.3,1115.6
699,1094.5,1097.8,1101,1104.3,1107.6,1110.9,1114.2,1117.5
700,1096.5,1099.7,1102.9,1106.2,1109.5,1112.8,1116.1,1119.4
701,1098.4,1101.6,1104.8,1108.1,1111.4,1114.7,1118,1121.3
702,1100.3,1103.5,1106.7,1110,1113.3,1116.6,1119.9,1123.2
703,1102.2,1105.4,1108.6,1111.9,1115.2,1118.5,1121.8,1125.1
704,1104.1,1107.3,1110.5,1113.8,1117.1,1120.4,1123.7,1127
705,1106,1109.2,1112.4,1115.7,1119,1122.3,1125.6,1128.9
706,1107.9,1111.1,1114.3,1117.6,1120.9,1124.2,1127.5,1130.8
707,1109.8,1113,1116.2,1119.5,1122.8,1126,1129.3,1132.7
708,1111.7,1114.9,1118.1,1121.4,1124.6,1127.9,1131.2,1134.5
709,1113.6,1116.8,1120,1123.3,1126.5,1129.8,1133.1,1136.4
710,1115.5,1118.7,1121.9,1125.2,1128.4,1131.7,1135,1138.3
711,1117.4,1120.6,1123.8,1127.1,1130.3,1133.6,1136.9,1140.2
712,1119.3,1122.5,1125.7,1128.9,1132.2,1135.5,1138.8,1142
713,1121.2,1124.4,1127.6,1130.8,1134.1,1137.3,1140.6,1143.9
714,1123.1,1126.3,1129.5,1132.7,1136,1139.2,1142.5,1145.8
715,1125,1128.2,1131.4,1134.6,1137.8,1141.1,1144.4,1147.7
716,1126.8,1130,1133.2,1136.5,1139.7,1143,1146.2,1149.5
717,1128.7,1131.9,1135.1,1138.4,1141.6,1144.8,1148.1,1151.4
718,1130.6,1133.8,1137,1140.2,1143.5,1146.7,1150,1153.3
719,1132.5,1135.7,1138.9,1142.1,1145.3,1148.6,1151.9,1155.1
720,1134.4,1137.6,1140.8,1144,1147.2,1150.5,1153.7,1157
721,1136.3,1139.4,1142.6,1145.9,1149.1,1152.3,1155.6,1158.8
722,1138.1,1141.3,1144.5,1147.7,1150.9,1154.2,1157.4,1160.7
723,1140,1143.2,1146.4,1149.6,1152.8,1156,1159.3,1162.6
724,1141.9,1145.1,1148.2,1151.5,1154.7,1157.9,1161.2,1164.4
725,1143.8,1146.9,1150.1,1153.3,1156.5,1159.8,1163,1166.3
726,1145.6,1148.8,1152,1155.2,1158.4,1161.6,1164.9,1168.1
727,1147.5,1150.7,1153.8,1157,1160.3,1163.5,1166.7,1170
728,1149.4,1152.5,1155.7,1158.9,1162.1,1165.3,1168.6,1171.8
729,1151.2,1154.4,1157.6,1160.8,1164,1167.2,1170.4,1173.7
730,1153.1,1156.3,1159.4,1162.6,1165.8,1169,1172.3,1175.5
731,1155,1158.1,1161.3,1164.5,1167.7,1170.9,1174.1,1177.3
732,1156.8,1160,1163.1,1166.3,1169.5,1172.7,1175.9,1179.2
733,1158.7,1161.8,1165,1168.2,1171.4,1174.6,1177.8,1181
734,1160.5,1163.7,1166.8,1170,1173.2,1176.4,1179.6,1182.8
735,1162.4,1165.5,1168.7,1171.9,1175.1,1178.3,1181.5,1184.7
736,1164.2,1167.4,1170.5,1173.7,1176.9,1180.1,1183.3,1186.5
737,1166.1,1169.2,1172.4,1175.5,1178.7,1181.9,1185.1,1188.3
738,1167.9,1171.1,1174.2,1177.4,1180.6,1183.8,1187,1190.2
739,1169.8,1172.9,1176.1,1179.2,1182.4,1185.6,1188.8,1192
740,1171.6,1174.8,1177.9,1181.1,1184.2,1187.4,1190.6,1193.8
741,1173.5,1176.6,1179.7,1182.9,1186.1,1189.2,1192.4,1195.6
742,1175.3,1178.4,1181.6,1184.7,1187.9,1191.1,1194.3,1197.4
743,1177.1,1180.3,1183.4,1186.6,1189.7,1192.9,1196.1,1199.3
744,1179,1182.1,1185.2,1188.4,1191.5,1194.7,1197.9,1201.1
745,1180.8,1183.9,1187.1,1190.2,1193.4,1196.5,1199.7,1202.9
746,1182.7,1185.8,1188.9,1192,1195.2,1198.4,1201.5,1204.7
747,1184.5,1187.6,1190.7,1193.9,1197,1200.2,1203.3,1206.5
748,1186.3,1189.4,1192.5,1195.7,1198.8,1202,1205.1,1208.3
749,1188.1,1191.3,1194.4,1197.5,1200.6,1203.8,1206.9,1210.1
750,1190,1193.1,1196.2,1199.3,1202.5,1205.6,1208.8,1211.9
751,1191.8,1194.9,1198,1201.1,1204.3,1207.4,1210.6,1213.7
752,1193.6,1196.7,1199.8,1202.9,1206.1,1209.2,1212.4,1215.5
753,1195.4,1198.5,1201.6,1204.8,1207.9,1211,1214.2,1217.3
754,1197.2,1200.3,1203.4,1206.6,1209.7,1212.8,1216,1219.1
755,1199.1,1202.2,1205.3,1208.4,1211.5,1214.6,1217.7,1220.9
756,1200.9,1204,1207.1,1210.2,1213.3,1216.4,1219.5,1222.7
757,1202.7,1205.8,1208.9,1212,1215.1,1218.2,1221.3,1224.5
758,1204.5,1207.6,1210.7,1213.8,1216.9,1220,1223.1,1226.3
759,1206.3,1209.4,1212.5,1215.6,1218.7,1221.8,1224.9,1228
760,1208.1,1211.2,1214.3,1217.4,1220.5,1223.6,1226.7,1229.8
761,1209.9,1213,1216.1,1219.2,1222.3,1225.4,1228.5,1231.6
762,1211.7,1214.8,1217.9,1220.9,1224,1227.1,1230.3,1233.4
763,1213.5,1216.6,1219.7,1222.7,1225.8,1228.9,1232,1235.1
764,1215.3,1218.4,1221.4,1224.5,1227.6,1230.7,1233.8,1236.9
765,1217.1,1220.2,1223.2,1226.3,1229.4,1232.5,1235.6,1238.7
766,1218.9,1221.9,1225,1228.1,1231.2,1234.3,1237.4,1240.5
767,1220.7,1223.7,1226.8,1229.9,1232.9,1236,1239.1,1242.2
768,1222.5,1225.5,1228.6,1231.6,1234.7,1237.8,1240.9,1244
769,1224.2,1227.3,1230.3,1233.4,1236.5,1239.6,1242.7,1245.7
770,1226,1229.1,1232.1,1235.2,1238.3,1241.3,1244.4,1247.5
771,1227.8,1230.8,1233.9,1237,1240,1243.1,1246.2,1249.2
772,1229.6,1232.6,1235.7,1238.7,1241.8,1244.9,1247.9,1251
773,1231.4,1234.4,1237.4,1240.5,1243.5,1246.6,1249.7,1252.8
774,1233.1,1236.2,1239.2,1242.2,1245.3,1248.4,1251.4,1254.5
775,1234.9,1237.9,1241,1244,1247.1,1250.1,1253.2,1256.2
776,1236.7,1239.7,1242.7,1245.8,1248.8,1251.9,1254.9,1258
777,1238.4,1241.5,1244.5,1247.5,1250.6,1253.6,1256.7,1259.7
778,1240.2,1243.2,1246.2,1249.3,1252.3,1255.4,1258.4,1261.5
779,1242,1245,1248,1251,1254.1,1257.1,1260.2,1263.2
780,1243.7,1246.7,1249.7,1252.8,1255.8,1258.9,1261.9,1264.9
781,1245.5,1248.5,1251.5,1254.5,1257.6,1260.6,1263.6,1266.7
782,1247.2,1250.2,1253.2,1256.3,1259.3,1262.3,1265.4,1268.4
783,1249,1252,1255,1258,1261,1264.1,1267.1,1270.1
784,1250.7,1253.7,1256.7,1259.7,1262.8,1265.8,1268.8,1271.8
785,1252.5,1255.5,1258.5,1261.5,1264.5,1267.5,1270.5,1273.6
786,1254.2,1257.2,1260.2,1263.2,1266.2,1269.2,1272.3,1275.3
787,1256,1259,1262,1265,1268,1271,1274,1277
788,1257.7,1260.7,1263.7,1266.7,1269.7,1272.7,1275.7,1278.7
789,1259.5,1262.4,1265.4,1268.4,1271.4,1274.4,1277.4,1280.4
790,1261.2,1264.2,1267.2,1270.1,1273.1,1276.1,1279.1,1282.1
791,1262.9,1265.9,1268.9,1271.9,1274.8,1277.8,1280.8,1283.8
792,1264.7,1267.6,1270.6,1273.6,1276.6,1279.5,1282.5,1285.5
793,1266.4,1269.4,1272.3,1275.3,1278.3,1281.3,1284.2,1287.2
794,1268.1,1271.1,1274.1,1277,1280,1283,1285.9,1288.9
795,1269.9,1272.8,1275.8,1278.7,1281.7,1284.7,1287.6,1290.6
796,1271.6,1274.5,1277.5,1280.4,1283.4,1286.4,1289.3,1292.3
797,1273.3,1276.2,1279.2,1282.2,1285.1,1288.1,1291,1294
798,1275,1278,1280.9,1283.9,1286.8,1289.8,1292.7,1295.7
799,1276.7,1279.7,1282.6,1285.6,1288.5,1291.5,1294.4,1297.4
800,1278.4,1281.4,1284.3,1287.3,1290.2,1293.2,1296.1,1299.1
801,1280.1,1283.1,1286,1289,1291.9,1294.8,1297.8,1300.7
802,1281.9,1284.8,1287.7,1290.7,1293.6,1296.5,1299.5,1302.4
803,1283.6,1286.5,1289.4,1292.4,1295.3,1298.2,1301.1,1304.1
804,1285.3,1288.2,1291.1,1294,1297,1299.9,1302.8,1305.7
805,1287,1289.9,1292.8,1295.7,1298.7,1301.6,1304.5,1307.4
806,1288.7,1291.6,1294.5,1297.4,1300.3,1303.3,1306.2,1309.1
807,1290.3,1293.3,1296.2,1299.1,1302,1304.9,1307.8,1310.7
808,1292,1295,1297.9,1300.8,1303.7,1306.6,1309.5,1312.4
809,1293.7,1296.6,1299.5,1302.5,1305.4,1308.3,1311.2,1314
810,1295.4,1298.3,1301.2,1304.1,1307,1309.9,1312.8,1315.7
811,1297.1,1300,1302.9,1305.8,1308.7,1311.6,1314.5,1317.4
812,1298.8,1301.7,1304.6,1307.5,1310.4,1313.3,1316.1,1319
