level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.0,trim_-1.0,trim_0.0,trim_1.0,trim_2.0
97,49.6,50.9,52.2,53.7,55.2,56.8,58.4,60.2
98,50.5,51.8,53.1,54.6,56.1,57.7,59.4,61.1
99,51.4,52.7,54,55.5,57,58.6,60.3,62.1
100,52.3,53.6,54.9,56.4,58,59.6,61.2,63
101,53.2,54.5,55.9,57.3,58.9,60.5,62.2,64
102,54.1,55.4,56.8,58.3,59.8,61.4,63.2,65
103,55,56.3,57.7,59.2,60.8,62.4,64.1,65.9
104,55.9,57.2,58.6,60.2,61.7,63.3,65.1,66.9
105,56.8,58.2,59.6,61.1,62.7,64.3,66.1,67.9
106,57.8,59.1,60.5,62,63.6,65.3,67,68.9
107,58.7,60,61.5,63,64.6,66.3,68,69.9
108,59.6,61,62.4,64,65.5,67.2,69,70.9
109,60.6,61.9,63.4,64.9,66.5,68.2,70,71.9
110,61.5,62.9,64.4,65.9,67.5,69.2,71,72.9
111,62.5,63.9,65.4,66.9,68.5,70.2,72,73.9
112,63.4,64.8,66.3,67.9,69.5,71.2,73,74.9
113,64.4,65.8,67.3,68.8,70.5,72.2,74,75.9
114,65.4,66.8,68.3,69.8,71.5,73.2,75,77
115,66.4,67.8,69.3,70.8,72.5,74.2,76.1,78
116,67.3,68.8,70.3,71.8,73.5,75.3,77.1,79
117,68.3,69.8,71.3,72.9,74.5,76.3,78.1,80.1
118,69.3,70.8,72.3,73.9,75.6,77.3,79.2,81.1
119,70.3,71.8,73.3,74.9,76.6,78.4,80.2,82.2
120,71.3,72.8,74.3,75.9,77.6,79.4,81.3,83.3
121,72.4,73.8,75.3,77,78.7,80.5,82.4,84.3
122,73.4,74.8,76.4,78,79.7,81.5,83.4,85.4
123,74.4,75.9,77.4,79.1,80.8,82.6,84.5,86.5
124,75.4,76.9,78.5,80.1,81.8,83.7,85.6,87.6
125,76.5,77.9,79.5,81.2,82.9,84.7,86.7,88.7
126,77.5,79,80.6,82.2,84,85.8,87.7,89.8
127,78.5,80,81.6,83.3,85.1,86.9,88.8,90.9
128,79.6,81.1,82.7,84.4,86.1,88,89.9,92
129,80.6,82.1,83.7,85.4,87.2,89.1,91,93.1
130,81.7,83.2,84.8,86.5,88.3,90.2,92.2,94.2
131,82.7,84.3,85.9,87.6,89.4,91.3,93.3,95.3
132,83.8,85.3,87,88.7,90.5,92.4,94.4,96.4
133,84.9,86.4,88.1,89.8,91.6,93.5,95.5,97.5
134,85.9,87.5,89.2,90.9,92.7,94.6,96.6,98.7
135,87,88.6,90.3,92,93.8,95.8,97.8,99.8
136,88.1,89.7,91.4,93.1,95,96.9,98.9,101
137,89.2,90.8,92.5,94.2,96.1,98,100,102.1
138,90.3,91.9,93.6,95.4,97.2,99.2,101.2,103.3
139,91.4,93,94.7,96.5,98.4,100.3,102.3,104.4
140,92.5,94.1,95.8,97.6,99.5,101.5,103.5,105.6
141,93.6,95.2,97,98.8,100.7,102.6,104.6,106.7
142,94.7,96.3,98.1,99.9,101.8,103.8,105.8,107.9
143,95.8,97.5,99.2,101.1,103,104.9,107,109.1
144,96.9,98.6,100.4,102.2,104.1,106.1,108.1,110.3
145,98.1,99.7,101.5,103.4,105.3,107.3,109.3,111.4
146,99.2,100.9,102.7,104.5,106.5,108.4,110.5,112.6
147,100.3,102,103.8,105.7,107.6,109.6,111.7,113.8
148,101.5,103.2,105,106.9,108.8,110.8,112.9,115
149,102.6,104.3,106.1,108,110,112,114.1,116.2
150,103.8,105.5,107.3,109.2,111.2,113.2,115.3,117.4
151,104.9,106.7,108.5,110.4,112.3,114.4,116.5,118.7
152,106.1,107.8,109.7,111.6,113.5,115.6,117.7,119.9
153,107.3,109,110.8,112.8,114.7,116.8,118.9,121.1
154,108.4,110.2,112,114,115.9,118,120.1,122.3
155,109.6,111.4,113.2,115.1,117.1,119.2,121.3,123.6
156,110.8,112.6,114.4,116.3,118.3,120.4,122.6,124.8
157,112,113.8,115.6,117.6,119.5,121.6,123.8,126
158,113.2,115,116.8,118.8,120.8,122.9,125,127.3
159,114.4,116.2,118,120,122,124.1,126.3,128.5
160,115.6,117.4,119.3,121.2,123.2,125.3,127.5,129.8
161,116.8,118.6,120.5,122.4,124.4,126.6,128.7,131
162,118,119.8,121.7,123.6,125.7,127.8,130,132.3
163,119.2,121,122.9,124.9,126.9,129,131.3,133.6
164,120.4,122.3,124.1,126.1,128.2,130.3,132.5,134.8
165,121.6,123.5,125.4,127.4,129.4,131.6,133.8,136.1
166,122.9,124.7,126.6,128.6,130.7,132.8,135.1,137.4
167,124.1,126,127.9,129.9,131.9,134.1,136.3,138.7
168,125.3,127.2,129.1,131.1,133.2,135.4,137.6,140
169,126.6,128.4,130.4,132.4,134.5,136.6,138.9,141.3
170,127.8,129.7,131.6,133.6,135.7,137.9,140.2,142.6
171,129.1,130.9,132.9,134.9,137,139.2,141.5,143.9
172,130.3,132.2,134.1,136.2,138.3,140.5,142.8,145.2
173,131.6,133.5,135.4,137.5,139.6,141.8,144.1,146.5
174,132.9,134.7,136.7,138.7,140.9,143.1,145.4,147.8
175,134.1,136,138,140,142.1,144.4,146.7,149.1
176,135.4,137.3,139.2,141.3,143.4,145.7,148,150.4
177,136.7,138.6,140.5,142.6,144.7,147,149.3,151.8
178,137.9,139.8,141.8,143.9,146.1,148.3,150.7,153.1
179,139.2,141.1,143.1,145.2,147.4,149.6,152,154.4
180,140.5,142.4,144.4,146.5,148.7,151,153.3,155.8
181,141.8,143.7,145.7,147.8,150,152.3,154.7,157.1
182,143.1,145,147,149.1,151.3,153.6,156,158.4
183,144.4,146.3,148.3,150.5,152.7,155,157.3,159.8
184,145.7,147.6,149.7,151.8,154,156.3,158.7,161.2
185,147,148.9,151,153.1,155.3,157.6,160,162.5
186,148.3,150.2,152.3,154.4,156.7,159,161.4,163.9
187,149.6,151.6,153.6,155.8,158,160.3,162.8,165.2
188,150.9,152.9,155,157.1,159.4,161.7,164.1,166.6
189,152.2,154.2,156.3,158.5,160.7,163.1,165.5,168
190,153.5,155.5,157.6,159.8,162.1,164.4,166.9,169.4
191,154.9,156.9,159,161.2,163.5,165.8,168.2,170.7
192,156.2,158.2,160.3,162.5,164.8,167.2,169.6,172.1
193,157.5,159.6,161.7,163.9,166.2,168.6,171,173.5
194,158.9,160.9,163,165.3,167.6,169.9,172.4,174.9
195,160.2,162.3,164.4,166.6,168.9,171.3,173.8,176.3
196,161.6,163.6,165.8,168,170.3,172.7,175.2,177.7
197,162.9,165,167.1,169.4,171.7,174.1,176.6,179.1
198,164.3,166.3,168.5,170.8,173.1,175.5,178,180.5
199,165.6,167.7,169.9,172.1,174.5,176.9,179.4,181.9
200,167,169.1,171.3,173.5,175.9,178.3,180.8,183.3
201,168.3,170.4,172.6,174.9,177.3,179.7,182.2,184.8
202,169.7,171.8,174,176.3,178.7,181.1,183.6,186.2
203,171.1,173.2,175.4,177.7,180.1,182.5,185,187.6
204,172.5,174.6,176.8,179.1,181.5,183.9,186.5,189
205,173.8,176,178.2,180.5,182.9,185.4,187.9,190.5
206,175.2,177.4,179.6,181.9,184.3,186.8,189.3,191.9
207,176.6,178.8,181,183.3,185.7,188.2,190.7,193.4
208,178,180.2,182.4,184.8,187.2,189.6,192.2,194.8
209,179.4,181.6,183.8,186.2,188.6,191.1,193.6,196.2
210,180.8,183,185.3,187.6,190,192.5,195.1,197.7
211,182.3,184.4,186.7,189,191.5,193.9,196.5,199.1
212,183.7,185.9,188.1,190.5,192.9,195.4,197.9,200.6
213,185.1,187.3,189.5,191.9,194.3,196.8,199.4,202.1
214,186.5,188.7,191,193.3,195.8,198.3,200.9,203.5
215,187.9,190.1,192.4,194.8,197.2,199.7,202.3,205
216,189.4,191.6,193.9,196.2,198.7,201.2,203.8,206.5
217,190.8,193,195.3,197.7,200.1,202.7,205.3,207.9
218,192.2,194.5,196.8,199.1,201.6,204.1,206.7,209.4
219,193.7,195.9,198.2,200.6,203,205.6,208.2,210.9
220,195.1,197.4,199.7,202.1,204.5,207.1,209.7,212.4
221,196.6,198.8,201.1,203.5,206,208.5,211.2,213.9
222,198,200.3,202.6,205,207.5,210,212.6,215.4
223,199.5,201.7,204.1,206.5,208.9,211.5,214.1,216.9
224,200.9,203.2,205.5,207.9,210.4,213,215.6,218.4
225,202.4,204.7,207,209.4,211.9,214.5,217.1,219.9
226,203.9,206.1,208.5,210.9,213.4,216,218.6,221.4
227,205.3,207.6,210,212.4,214.9,217.5,220.1,222.9
228,206.8,209.1,211.5,213.9,216.4,219,221.6,224.4
229,208.3,210.6,212.9,215.4,217.9,220.5,223.1,225.9
230,209.8,212.1,214.4,216.9,219.4,222,224.7,227.4
231,211.3,213.6,215.9,218.4,220.9,223.5,226.2,228.9
232,212.7,215.1,217.4,219.9,222.4,225,227.7,230.5
233,214.2,216.5,218.9,221.4,223.9,226.5,229.2,232
234,215.7,218,220.4,222.9,225.4,228.1,230.8,233.5
235,217.2,219.5,221.9,224.4,227,229.6,232.3,235.1
236,218.7,221.1,223.4,225.9,228.5,231.1,233.8,236.6
237,220.2,222.6,225,227.4,230,232.6,235.4,238.1
238,221.7,224.1,226.5,229,231.5,234.2,236.9,239.7
239,223.2,225.6,228,230.5,233.1,235.7,238.4,241.2
240,224.8,227.1,229.5,232,234.6,237.3,240,242.8
241,226.3,228.6,231.1,233.6,236.1,238.8,241.5,244.3
242,227.8,230.2,232.6,235.1,237.7,240.4,243.1,245.9
243,229.3,231.7,234.1,236.6,239.2,241.9,244.7,247.5
244,230.8,233.2,235.7,238.2,240.8,243.5,246.2,249
245,232.4,234.7,237.2,239.7,242.3,245,247.8,250.6
246,233.9,236.3,238.7,241.3,243.9,246.6,249.3,252.2
247,235.4,237.8,240.3,242.8,245.5,248.2,250.9,253.7
248,237,239.4,241.8,244.4,247,249.7,252.5,255.3
249,238.5,240.9,243.4,246,248.6,251.3,254.1,256.9
250,240.1,242.5,245,247.5,250.2,252.9,255.6,258.5
251,241.6,244,246.5,249.1,251.7,254.4,257.2,260.1
252,243.2,245.6,248.1,250.7,253.3,256,258.8,261.7
253,244.7,247.1,249.6,252.2,254.9,257.6,260.4,263.2
254,246.3,248.7,251.2,253.8,256.5,259.2,262,264.8
255,247.8,250.3,252.8,255.4,258,260.8,263.6,266.4
256,249.4,251.8,254.4,257,259.6,262.4,265.2,268
257,251,253.4,255.9,258.5,261.2,264,266.8,269.6
258,252.5,255,257.5,260.1,262.8,265.6,268.4,271.3
259,254.1,256.6,259.1,261.7,264.4,267.2,270,272.9
260,255.7,258.2,260.7,263.3,266,268.8,271.6,274.5
261,257.3,259.7,262.3,264.9,267.6,270.4,273.2,276.1
262,258.9,261.3,263.9,266.5,269.2,272,274.8,277.7
263,260.4,262.9,265.5,268.1,270.8,273.6,276.4,279.4
264,262,264.5,267.1,269.7,272.4,275.2,278,281
265,263.6,266.1,268.7,271.3,274,276.8,279.7,282.6
266,265.2,267.7,270.3,272.9,275.7,278.4,281.3,284.2
267,266.8,269.3,271.9,274.6,277.3,280.1,282.9,285.9
268,268.4,270.9,273.5,276.2,278.9,281.7,284.6,287.5
269,270,272.5,275.1,277.8,280.5,283.3,286.2,289.2
270,271.6,274.2,276.8,279.4,282.1,284.9,287.8,290.8
271,273.2,275.8,278.4,281,283.8,286.6,289.5,292.4
272,274.9,277.4,280,282.7,285.4,288.2,291.1,294.1
