level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
8280,-134.56,-121.0,-107.0,-93.56,-80.0,-66.56,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8290,-134.58,-121.0,-107.0,-93.58,-80.0,-66.58,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8300,-134.6,-121.0,-107.0,-93.6,-80.0,-66.6,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8310,-134.62,-121.0,-107.0,-93.62,-80.0,-66.62,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8320,-134.64,-121.0,-107.0,-93.64,-80.0,-66.64,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8330,-134.66,-121.0,-107.0,-93.66,-80.0,-66.66,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8340,-134.68,-121.0,-107.0,-93.68,-80.0,-66.68,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8350,-134.7,-121.0,-107.0,-93.7,-80.0,-66.7,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8360,-134.72,-121.0,-107.0,-93.72,-80.0,-66.72,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8370,-134.74,-121.0,-107.0,-93.74,-80.0,-66.74,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8380,-134.76,-121.0,-107.0,-93.76,-80.0,-66.76,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8390,-134.78,-121.0,-107.0,-93.78,-80.0,-66.78,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8400,-134.8,-121.0,-107.0,-93.8,-80.0,-66.8,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8410,-134.82,-121.0,-107.0,-93.82,-80.0,-66.82,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8420,-134.84,-121.0,-107.0,-93.84,-80.0,-66.84,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8430,-134.86,-121.0,-107.0,-93.86,-80.0,-66.86,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8440,-134.88,-121.0,-107.0,-93.88,-80.0,-66.88,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8450,-134.9,-121.0,-107.0,-93.9,-80.0,-66.9,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8460,-134.92,-121.0,-107.0,-93.92,-80.0,-66.92,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8470,-134.94,-121.0,-107.0,-93.94,-80.0,-66.94,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8480,-134.96,-121.0,-107.0,-93.96,-80.0,-66.96,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8490,-134.98,-121.0,-107.0,-93.98,-80.0,-66.98,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8500,-135.0,-121.0,-107.0,-94.0,-80.0,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8510,-135.02,-121.02,-107.02,-94.0,-80.02,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8520,-135.04,-121.04,-107.04,-94.0,-80.04,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8530,-135.06,-121.06,-107.06,-94.0,-80.06,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8540,-135.08,-121.08,-107.08,-94.0,-80.08,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8550,-135.1,-121.1,-107.1,-94.0,-80.1,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8560,-135.12,-121.12,-107.12,-94.0,-80.12,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8570,-135.14,-121.14,-107.14,-94.0,-80.14,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8580,-135.16,-121.16,-107.16,-94.0,-80.16,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8590,-135.18,-121.18,-107.18,-94.0,-80.18,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8600,-135.2,-121.2,-107.2,-94.0,-80.2,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8610,-135.22,-121.22,-107.22,-94.0,-80.22,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8620,-135.24,-121.24,-107.24,-94.0,-80.24,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8630,-135.26,-121.26,-107.26,-94.0,-80.26,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8640,-135.28,-121.28,-107.28,-94.0,-80.28,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8650,-135.3,-121.3,-107.3,-94.0,-80.3,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8660,-135.32,-121.32,-107.32,-94.0,-80.32,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8670,-135.34,-121.34,-107.34,-94.0,-80.34,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8680,-135.36,-121.36,-107.36,-94.0,-80.36,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8690,-135.38,-121.38,-107.38,-94.0,-80.38,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8700,-135.4,-121.4,-107.4,-94.0,-80.4,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8710,-135.42,-121.42,-107.42,-94.0,-80.42,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8720,-135.44,-121.44,-107.44,-94.0,-80.44,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8730,-135.46,-121.46,-107.46,-94.0,-80.46,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8740,-135.48,-121.48,-107.48,-94.0,-80.48,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8750,-135.5,-121.5,-107.5,-94.0,-80.5,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8760,-135.52,-121.52,-107.52,-94.0,-80.52,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8770,-135.54,-121.54,-107.54,-94.0,-80.54,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
