level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
82,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
83,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
84,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
85,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
86,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
87,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
88,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
89,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
90,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
91,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
92,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
93,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
94,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
95,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
96,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
97,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
98,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
99,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
100,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
101,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
102,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
103,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
104,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
105,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
106,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
107,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
108,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
109,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
110,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
111,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
112,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
113,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
114,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
115,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
116,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
117,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
