level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,24.0,20.0,14.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,24.0,19.9,14.1,11.0,5.2,2.1,0.0,-0.3,-0.5,-0.7,-0.9,-1.0,-1.1
20,24.0,19.8,14.2,11.0,5.4,2.2,0.0,-0.6,-1.0,-1.4,-1.8,-2.0,-2.2
30,24.0,19.7,14.3,11.0,5.6,2.3,0.0,-0.8999999999999999,-1.5,-2.0999999999999996,-2.7,-3.0,-3.3000000000000003
40,24.0,19.6,14.4,11.0,5.8,2.4,0.0,-1.2,-2.0,-2.8,-3.6,-4.0,-4.4
50,24.0,19.5,14.5,11.0,6.0,2.5,0.0,-1.5,-2.5,-3.5,-4.5,-5.0,-5.5
60,24.0,19.4,14.6,11.0,6.2,2.6,0.0,-1.7999999999999998,-3.0,-4.199999999999999,-5.4,-6.0,-6.6000000000000005
70,24.0,19.3,14.7,11.0,6.4,2.7,0.0,-2.1,-3.5,-4.8999999999999995,-6.3,-7.0,-7.700000000000001
80,24.0,19.2,14.8,11.0,6.6,2.8,0.0,-2.4,-4.0,-5.6,-7.2,-8.0,-8.8
90,24.0,19.1,14.9,11.0,6.8,2.9,0.0,-2.6999999999999997,-4.5,-6.3,-8.1,-9.0,-9.9
100,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
110,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
120,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
130,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
140,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
150,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
160,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
170,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
180,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
190,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
200,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
210,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
220,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
230,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
240,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
250,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
260,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
270,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
280,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
290,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
300,24.0,19.0,15.0,11.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.0
310,24.0,19.0,15.0,10.9,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.1
320,24.0,19.0,15.0,10.8,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.2
330,24.0,19.0,15.0,10.7,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.3
340,24.0,19.0,15.0,10.6,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.4
350,24.0,19.0,15.0,10.5,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.5
360,24.0,19.0,15.0,10.4,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.6
370,24.0,19.0,15.0,10.3,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.7
380,24.0,19.0,15.0,10.2,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.8
390,24.0,19.0,15.0,10.1,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-11.9
400,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.0,-12.0
410,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.1,-12.0
420,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.2,-12.0
430,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.3,-12.0
440,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.4,-12.0
450,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.5,-12.0
460,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.6,-12.0
470,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.7,-12.0
480,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.8,-12.0
490,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-10.9,-12.0
500,24.0,19.0,15.0,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.0,-9.0,-11.0,-12.0
510,23.98,19.0,14.98,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.02,-9.0,-11.0,-12.0
520,23.96,19.0,14.96,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.04,-9.0,-11.0,-12.0
530,23.94,19.0,14.94,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.06,-9.0,-11.0,-12.0
540,23.92,19.0,14.92,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.08,-9.0,-11.0,-12.0
550,23.9,19.0,14.9,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.1,-9.0,-11.0,-12.0
560,23.88,19.0,14.88,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.12,-9.0,-11.0,-12.0
570,23.86,19.0,14.86,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.14,-9.0,-11.0,-12.0
580,23.84,19.0,14.84,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.16,-9.0,-11.0,-12.0
590,23.82,19.0,14.82,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.18,-9.0,-11.0,-12.0
600,23.8,19.0,14.8,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.2,-9.0,-11.0,-12.0
610,23.78,19.0,14.78,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.22,-9.0,-11.0,-12.0
620,23.76,19.0,14.76,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.24,-9.0,-11.0,-12.0
630,23.74,19.0,14.74,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.26,-9.0,-11.0,-12.0
640,23.72,19.0,14.72,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.28,-9.0,-11.0,-12.0
650,23.7,19.0,14.7,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.3,-9.0,-11.0,-12.0
660,23.68,19.0,14.68,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.32,-9.0,-11.0,-12.0
670,23.66,19.0,14.66,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.34,-9.0,-11.0,-12.0
680,23.64,19.0,14.64,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.36,-9.0,-11.0,-12.0
690,23.62,19.0,14.62,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.38,-9.0,-11.0,-12.0
700,23.6,19.0,14.6,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.4,-9.0,-11.0,-12.0
710,23.58,19.0,14.58,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.42,-9.0,-11.0,-12.0
720,23.56,19.0,14.56,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.44,-9.0,-11.0,-12.0
730,23.54,19.0,14.54,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.46,-9.0,-11.0,-12.0
740,23.52,19.0,14.52,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.48,-9.0,-11.0,-12.0
750,23.5,19.0,14.5,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.5,-9.0,-11.0,-12.0
760,23.48,19.0,14.48,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.52,-9.0,-11.0,-12.0
770,23.46,19.0,14.46,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.54,-9.0,-11.0,-12.0
780,23.44,19.0,14.44,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.5600000000000005,-9.0,-11.0,-12.0
790,23.42,19.0,14.42,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.58,-9.0,-11.0,-12.0
800,23.4,19.0,14.4,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.6,-9.0,-11.0,-12.0
810,23.38,19.0,14.38,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.62,-9.0,-11.0,-12.0
820,23.36,19.0,14.36,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.64,-9.0,-11.0,-12.0
830,23.34,19.0,14.34,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.66,-9.0,-11.0,-12.0
840,23.32,19.0,14.32,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.68,-9.0,-11.0,-12.0
850,23.3,19.0,14.3,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.7,-9.0,-11.0,-12.0
860,23.28,19.0,14.28,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.72,-9.0,-11.0,-12.0
870,23.26,19.0,14.26,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.74,-9.0,-11.0,-12.0
880,23.24,19.0,14.24,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.76,-9.0,-11.0,-12.0
890,23.22,19.0,14.22,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.78,-9.0,-11.0,-12.0
900,23.2,19.0,14.2,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.8,-9.0,-11.0,-12.0
910,23.18,19.0,14.18,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.82,-9.0,-11.0,-12.0
920,23.16,19.0,14.16,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.84,-9.0,-11.0,-12.0
930,23.14,19.0,14.14,10.0,7.0,3.0,0.0,-3.0,-5.0,-7.86,-9.0,-11.0,-12.0
