level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
38,60.239999999999995,52.239999999999995,43.620000000000005,35.620000000000005,28.0,20.38,13.14,6.280000000000001,0.5600000000000005,-2.3599999999999994,0.0,25.96,52.68,81.16,109.4
39,59.72,51.72,43.11,35.11,27.5,19.89,12.670000000000002,5.84,0.17999999999999972,-2.58,0.0,25.88,52.54,80.98,109.2
40,59.2,51.2,42.6,34.6,27.0,19.4,12.200000000000003,5.399999999999999,-0.1999999999999993,-2.8000000000000007,0.0,25.8,52.4,80.8,109.0
41,58.68,50.68,42.09,34.09,26.5,18.91,11.73,4.960000000000001,-0.5800000000000001,-3.0199999999999996,0.0,25.72,52.26,80.62,108.8
42,58.16,50.16,41.58,33.58,26.0,18.42,11.260000000000002,4.52,-0.9600000000000009,-3.24,0.0,25.64,52.12,80.44,108.6
43,57.64,49.64,41.07,33.07,25.5,17.93,10.790000000000003,4.079999999999998,-1.3399999999999999,-3.460000000000001,0.0,25.56,51.98,80.26,108.4
44,57.12,49.12,40.56,32.56,25.0,17.44,10.32,3.6400000000000006,-1.7199999999999989,-3.6799999999999997,0.0,25.48,51.84,80.08,108.2
45,56.599999999999994,48.599999999999994,40.05,32.05,24.5,16.95,9.850000000000001,3.1999999999999993,-2.1000000000000014,-3.9000000000000004,0.0,25.4,51.7,79.9,108.0
46,56.08,48.08,39.54,31.54,24.0,16.46,9.380000000000003,2.7600000000000016,-2.4800000000000004,-4.119999999999999,0.0,25.32,51.56,79.72,107.8
47,55.56,47.56,39.03,31.03,23.5,15.969999999999999,8.91,2.3200000000000003,-2.8599999999999994,-4.34,0.0,25.24,51.42,79.54,107.6
48,55.04,47.04,38.519999999999996,30.52,23.0,15.48,8.440000000000001,1.879999999999999,-3.240000000000002,-4.5600000000000005,0.0,25.16,51.28,79.36,107.4
49,54.519999999999996,46.519999999999996,38.01,30.009999999999998,22.5,14.990000000000002,7.970000000000002,1.4400000000000013,-3.620000000000001,-4.779999999999999,0.0,25.08,51.14,79.18,107.2
50,54.0,46.0,37.5,29.5,22.0,14.5,7.5,1.0,-4.0,-5.0,0.0,25.0,51.0,79.0,107.0
51,53.480000000000004,45.480000000000004,36.989999999999995,28.99,21.5,14.010000000000002,7.030000000000001,0.5599999999999987,-4.379999999999999,-5.220000000000001,0.0,24.92,50.86,78.82,106.8
52,52.96,44.96,36.480000000000004,28.48,21.0,13.52,6.560000000000002,0.120000000000001,-4.760000000000002,-5.4399999999999995,0.0,24.84,50.72,78.64,106.6
53,52.44,44.44,35.97,27.97,20.5,13.030000000000001,6.09,-0.3200000000000003,-5.140000000000001,-5.66,0.0,24.759999999999998,50.58,78.46000000000001,106.4
54,51.92,43.92,35.46,27.46,20.0,12.54,5.620000000000001,-0.7600000000000016,-5.52,-5.880000000000001,0.0,24.68,50.44,78.28,106.2
55,51.4,43.4,34.95,26.95,19.5,12.05,5.150000000000002,-1.1999999999999993,-5.899999999999999,-6.1,0.0,24.6,50.3,78.1,106.0
56,50.879999999999995,42.879999999999995,34.44,26.439999999999998,19.0,11.560000000000002,4.68,-1.6400000000000006,-6.280000000000001,-6.32,0.0,24.52,50.16,77.92,105.8
57,50.36,42.36,33.93,25.93,18.5,11.07,4.210000000000001,-2.080000000000002,-6.66,-6.540000000000001,0.0,24.439999999999998,50.019999999999996,77.74,105.6
58,49.84,41.84,33.42,25.419999999999998,18.0,10.580000000000002,3.740000000000002,-2.5199999999999996,-7.039999999999999,-6.76,0.0,24.36,49.879999999999995,77.56,105.4
59,49.32,41.32,32.91,24.91,17.5,10.09,3.270000000000003,-2.960000000000001,-7.420000000000002,-6.98,0.0,24.28,49.739999999999995,77.38,105.2
60,48.8,40.8,32.4,24.4,17.0,9.600000000000001,2.8000000000000007,-3.3999999999999986,-7.800000000000001,-7.199999999999999,0.0,24.2,49.6,77.2,105.0
61,48.28,40.28,31.89,23.89,16.5,9.11,2.330000000000002,-3.84,-8.18,-7.42,0.0,24.12,49.46,77.02,104.8
62,47.76,39.76,31.38,23.38,16.0,8.620000000000001,1.860000000000003,-4.280000000000001,-8.559999999999999,-7.640000000000001,0.0,24.04,49.32,76.84,104.6
63,47.24,39.24,30.869999999999997,22.869999999999997,15.5,8.129999999999999,1.3900000000000006,-4.719999999999999,-8.940000000000001,-7.859999999999999,0.0,23.96,49.18,76.66,104.4
64,46.72,38.72,30.36,22.36,15.0,7.640000000000001,0.9200000000000017,-5.16,-9.32,-8.08,0.0,23.88,49.04,76.48,104.2
65,46.199999999999996,38.199999999999996,29.85,21.85,14.5,7.150000000000002,0.45000000000000284,-5.600000000000001,-9.7,-8.3,0.0,23.8,48.9,76.3,104.0
66,45.68,37.68,29.339999999999996,21.339999999999996,14.0,6.660000000000004,-0.019999999999999574,-6.039999999999999,-10.080000000000002,-8.52,0.0,23.72,48.76,76.12,103.8
67,45.16,37.16,28.83,20.83,13.5,6.170000000000002,-0.48999999999999844,-6.48,-10.46,-8.74,0.0,23.64,48.62,75.94,103.6
68,44.64,36.64,28.32,20.32,13.0,5.68,-0.9599999999999973,-6.920000000000002,-10.84,-8.96,0.0,23.56,48.48,75.76,103.4
69,44.12,36.12,27.810000000000002,19.810000000000002,12.5,5.189999999999998,-1.4299999999999997,-7.359999999999999,-11.219999999999999,-9.18,0.0,23.48,48.34,75.58,103.2
70,43.6,35.6,27.299999999999997,19.299999999999997,12.0,4.700000000000003,-1.8999999999999986,-7.800000000000001,-11.600000000000001,-9.4,0.0,23.4,48.2,75.4,103.0
71,43.08,35.08,26.79,18.79,11.5,4.210000000000001,-2.3699999999999974,-8.239999999999998,-11.98,-9.62,0.0,23.32,48.06,75.22,102.8
72,42.56,34.56,26.28,18.28,11.0,3.719999999999999,-2.8399999999999963,-8.68,-12.36,-9.84,0.0,23.240000000000002,47.92,75.04,102.6
73,42.04,34.04,25.769999999999996,17.769999999999996,10.5,3.230000000000004,-3.309999999999995,-9.119999999999997,-12.740000000000002,-10.059999999999999,0.0,23.16,47.78,74.86,102.4
74,41.519999999999996,33.519999999999996,25.259999999999998,17.259999999999998,10.0,2.740000000000002,-3.780000000000001,-9.560000000000002,-13.120000000000001,-10.280000000000001,0.0,23.08,47.64,74.68,102.2
75,41.0,33.0,24.75,16.75,9.5,2.25,-4.25,-10.0,-13.5,-10.5,0.0,23.0,47.5,74.5,102.0
76,40.48,32.48,24.240000000000002,16.240000000000002,9.0,1.759999999999998,-4.719999999999999,-10.439999999999998,-13.879999999999999,-10.719999999999999,0.0,22.92,47.36,74.32,101.8
77,39.96,31.96,23.729999999999997,15.729999999999997,8.5,1.2700000000000031,-5.189999999999998,-10.880000000000003,-14.260000000000002,-10.940000000000001,0.0,22.84,47.22,74.14,101.6
78,39.44,31.439999999999998,23.22,15.219999999999999,8.0,0.7800000000000011,-5.659999999999997,-11.32,-14.64,-11.16,0.0,22.759999999999998,47.08,73.96000000000001,101.4
79,38.92,30.92,22.71,14.71,7.5,0.28999999999999915,-6.1299999999999955,-11.759999999999998,-15.02,-11.379999999999999,0.0,22.68,46.94,73.78,101.2
80,38.4,30.4,22.200000000000003,14.200000000000003,7.0,-0.20000000000000284,-6.599999999999994,-12.200000000000003,-15.399999999999999,-11.600000000000001,0.0,22.6,46.8,73.6,101.0
81,37.879999999999995,29.879999999999995,21.689999999999998,13.689999999999998,6.5,-0.6899999999999977,-7.07,-12.64,-15.780000000000001,-11.82,0.0,22.52,46.66,73.42,100.8
82,37.36,29.36,21.18,13.18,6.0,-1.1799999999999997,-7.539999999999999,-13.079999999999998,-16.16,-12.04,0.0,22.439999999999998,46.519999999999996,73.24,100.6
83,36.839999999999996,28.839999999999996,20.67,12.670000000000002,5.5,-1.6700000000000017,-8.009999999999998,-13.520000000000003,-16.54,-12.260000000000002,0.0,22.36,46.379999999999995,73.06,100.4
84,36.32,28.32,20.159999999999997,12.159999999999997,5.0,-2.1599999999999966,-8.479999999999997,-13.96,-16.92,-12.48,0.0,22.28,46.239999999999995,72.88,100.2
85,35.8,27.799999999999997,19.65,11.649999999999999,4.5,-2.6499999999999986,-8.949999999999996,-14.399999999999999,-17.299999999999997,-12.7,0.0,22.2,46.1,72.7,100.0
